COMPANY_NAME,COUNTRY_NAME
PROXIMAR SEAFOOD AS,Norway
PT ANEKA TUNA INDONESIA,Ecuador
PT ANEKA TUNA INDONESIA,Indonesia
PT BALI MAYA PERMAI,Indonesia
PT BALI MAYA PERMAI,United States of America
PT BUMI MENARA INTERNUSA (BMI),Indonesia
PT INTI LAUTAN FAJAR ABADI TBK (ILFA),Indonesia
PT NUTRINDO FRESFOOD,Indonesia
PT SEKAR BUMI TBK,Indonesia
PT SEKAR BUMI TBK,United States of America
PT SINAR PURE FOODS INTERNATIONAL (SPFI),Indonesia
QINGDAO OCEAN FISHERY,China
QL RESOURCES,Indonesia
QL RESOURCES,Malaysia
RARE FOOD AUSTRALIA,Australia
RED CHAMBER,Argentina
RONGCHENG OCEAN FISHERIES,China
RONGCHENG PUCHEN AQUATIC CO LTD,Argentina
RONGCHENG PUCHEN AQUATIC CO LTD,China
RONGCHENG PUCHEN AQUATIC CO LTD,New Zealand
RONGCHENG PUCHEN AQUATIC CO LTD,Peru
RONGCHENG YONGJIN AQUATIC,China
ROYAL GREENLAND AS,Canada
ROYAL GREENLAND AS,Denmark
ROYAL GREENLAND AS,Greenland
RUSSKAYA RYBNAYA KOMPANIYA ZAO,Russian Federation
SAJODAERIM CORP,Republic of Korea
SALMAR ASA,Iceland
SALMAR ASA,Norway
SALMAR ASA,United Kingdom
SAMHERJI LTD,Iceland
SAMHERJI LTD,Norway
SAMHERJI LTD,United Kingdom
SAMUELS AND SON,United States of America
SANFORD LIMITED,Australia
SANFORD LIMITED,New Zealand
SANTA MONICA,United States of America
SAO MAI GROUP CORPORATION,Brazil
SAO MAI GROUP CORPORATION,China
SAO MAI GROUP CORPORATION,Egypt
SAO MAI GROUP CORPORATION,Mexico
SAO MAI GROUP CORPORATION,United States of America
SAO MAI GROUP CORPORATION,Viet Nam
SAO TA FOODS JOINT STOCK COMPANY,Viet Nam
SAPMER,France
SAPMER,Mauritius
SEA HARVEST GROUP LTD,Australia
SEA HARVEST GROUP LTD,South Africa
SEA VALUE PUBLIC LIMITED COMPANY,Thailand
SEABORN AS,Iceland
SEABORN AS,Norway
SEAFARMS GROUP LIMITED,Australia
SEAFOOD JSC NUMBER 4,Viet Nam
SEAFRESH GROUP,Thailand
SEAFRESH GROUP,United Kingdom
SEALASKA,Iceland
SEALASKA,United Kingdom
SEALASKA,United States of America
SEALORD GROUP,Australia
SEALORD GROUP,New Zealand
SEAWEED ENERGY SOLUTIONS,Norway
SEAWEED ENERGY SOLUTIONS,Portugal
SHANDONG MARINE GROUP,China
SHANDONG ORIENTAL OCEAN TECHNOLOGY CO LTD,China
SHANDONG ZHONGLU OCEANIC FISHERIES,China
SHANDONG ZHONGLU OCEANIC FISHERIES,Ghana
SHANGDONG MEIJIA GROUP CO LTD,Argentina
SHANGDONG MEIJIA GROUP CO LTD,China
SHANGDONG MEIJIA GROUP CO LTD,United States of America
SHANGHAI KAICHUANG MARINE INTERNATIONAL CO LTD,Chile
